Year,Month,Region,Season,Temperature (°C),Humidity (%),Rainfall (mm),Wind Speed (km/h),num_fires,avg_size_ha,dominant_risk
2001,9,Kamloops,Fall,15.9,49.4,27.2,8.4,365,0.5309796954314722,Extreme
2001,9,Okanagan,Fall,16.8,51.4,21.1,11.2,180,0.8262526315789473,Extreme
2001,9,Prince George,Fall,9.8,66.2,42.2,11.2,81,0.6508387096774193,Extreme
2001,9,Vancouver Island,Fall,18.2,76.2,35.0,8.5,116,0.19087179487179487,Extreme
2001,10,Cariboo,Fall,4.3,68.7,45.9,7.1,75,4.092471698113207,Low
2001,10,Kamloops,Fall,7.3,60.0,30.8,9.3,365,0.5309796954314722,Extreme
2001,10,Okanagan,Fall,9.5,62.8,36.3,8.2,180,0.8262526315789473,Extreme
2001,10,Prince George,Fall,4.5,72.0,68.7,7.3,81,0.6508387096774193,Extreme
2001,10,Vancouver Island,Fall,11.0,78.3,94.3,10.8,116,0.19087179487179487,Extreme
2001,11,Cariboo,Fall,-3.8,81.8,48.6,8.3,75,4.092471698113207,Low
2001,11,Kamloops,Fall,-0.3,78.1,35.7,10.5,365,0.5309796954314722,Extreme
2001,11,Okanagan,Fall,1.8,79.2,37.0,6.5,180,0.8262526315789473,Extreme
2001,11,Prince George,Fall,-4.1,83.2,69.3,10.3,81,0.6508387096774193,Extreme
2001,11,Vancouver Island,Fall,7.6,87.8,142.5,9.4,116,0.19087179487179487,Extreme
2001,12,Kamloops,Winter,-5.2,79.7,36.9,7.0,2,0.0545,Low
2001,12,Okanagan,Winter,0.0,78.1,43.3,10.2,2,1.75,Moderate
2001,12,Prince George,Winter,-10.7,81.0,63.3,7.0,1,0.009,Low
2001,12,Vancouver Island,Winter,6.3,90.6,236.4,9.5,3,0.0029999999999999996,Low
2002,1,Cariboo,Winter,-10.3,85.4,41.4,7.1,2,0.0545,Low
2002,1,Kamloops,Winter,-5.0,80.0,35.0,9.1,4,0.0545,Low
2002,1,Okanagan,Winter,-5.1,74.0,39.9,5.8,2,0.009,Low
2002,1,Prince George,Winter,-9.0,82.5,51.0,8.5,9,10.85225,Low
2002,1,Vancouver Island,Winter,4.9,73.7,153.3,10.4,6,1.9236,Low
2002,2,Cariboo,Winter,-7.8,78.5,34.1,9.9,2,0.0545,Low
2002,2,Kamloops,Winter,-4.6,71.3,20.5,8.6,4,0.0545,Low
2002,2,Okanagan,Winter,-1.9,73.0,23.7,6.5,2,0.009,Low
2002,2,Prince George,Winter,-10.5,74.1,43.4,7.5,9,10.85225,Low
2002,2,Vancouver Island,Winter,8.4,74.9,64.9,10.3,6,1.9236,Low
2002,3,Cariboo,Spring,0.2,65.8,29.2,10.2,128,4.43478125,Moderate
2002,3,Kamloops,Spring,3.6,63.6,26.2,10.8,100,1.1294040404040404,Moderate
2002,3,Okanagan,Spring,6.9,61.4,28.3,8.8,43,5.689558139534884,Moderate
2002,3,Prince George,Spring,-4.3,72.1,34.6,10.1,125,14.09316,Moderate
2002,3,Vancouver Island,Spring,4.3,76.0,42.3,11.5,48,1.539413043478261,Low
2002,4,Cariboo,Spring,6.1,65.4,33.7,10.3,128,4.43478125,Moderate
2002,4,Kamloops,Spring,10.2,51.7,11.1,11.2,100,1.1294040404040404,Moderate
2002,4,Okanagan,Spring,9.2,51.1,19.1,8.2,43,5.689558139534884,Moderate
