Region,Year,Month,Season,total_burned_area,fire_count,average_fire_size,worst_case_fire_size,temperature_c,humidity_pct,rainfall_mm,wind_speed_kmh,risk_worst_case_fire_size
Vancouver Island,2014,4.0,Spring,97.145,14,6.938928571428571,94.5,11.5,65.7,35.7,10.9,High
Vancouver Island,2014,5.0,Spring,4.636,45,0.10302222222222222,3.0,11.7,72.3,28.4,12.0,Moderate
Vancouver Island,2014,6.0,Summer,5.977,74,0.08077027027027027,2.6,16.6,61.10000000000001,25.0,11.7,Moderate
Vancouver Island,2014,7.0,Summer,1215.3029999999999,121,10.04382644628099,540.0,18.5,69.8,21.7,11.6,Extreme
Vancouver Island,2014,8.0,Summer,173.42,137,1.2658394160583941,163.0,18.4,61.699999999999996,19.3,10.3,Extreme
Vancouver Island,2014,9.0,Fall,86.299,71,1.2154788732394368,66.0,16.3,62.300000000000004,37.9,10.4,High
Vancouver Island,2014,10.0,Fall,0.036,5,0.0072,0.009,10.3,83.2,95.4,12.5,Low
Vancouver Island,2014,12.0,Winter,0.009,1,0.009,0.009,2.8,83.0,135.0,11.9,Low
Vancouver Island,2015,2.0,Winter,0.0,3,0.0,0.0,7.900000000000001,76.0,99.09999999999998,10.5,Low
Vancouver Island,2015,3.0,Spring,0.0,1,0.0,0.0,9.2,61.6,71.8,11.3,Low
Vancouver Island,2015,4.0,Spring,2.818,5,0.5636,1.5,9.6,74.9,34.5,12.4,Moderate
Vancouver Island,2015,5.0,Spring,12506.148,90,138.9572,12495.0,14.0,70.0,27.7,9.7,Extreme
Vancouver Island,2015,6.0,Summer,9754.233,109,89.488376146789,6735.0,17.9,66.7,17.3,9.7,Extreme
Vancouver Island,2015,7.0,Summer,940.389,78,12.056269230769232,450.0,19.3,68.4,15.6,5.8,Extreme
Vancouver Island,2015,8.0,Summer,1846.866,64,28.85728125,1386.0,19.9,61.1,13.1,5.8,Extreme
Vancouver Island,2015,9.0,Fall,0.148,7,0.02114285714285714,0.13,16.7,71.5,36.3,12.3,Low
Vancouver Island,2015,10.0,Fall,13.509,13,1.039153846153846,3.3,11.7,84.5,63.5,10.400000000000002,Moderate
Vancouver Island,2015,11.0,Fall,0.009,2,0.0045,0.009,4.6,81.1,121.6,11.9,Low
Vancouver Island,2016,1.0,Winter,0.009,1,0.009,0.009,4.3,78.2,144.8,10.0,Low
Vancouver Island,2016,2.0,Winter,150.0,1,150.0,150.0,8.0,76.9,86.9,10.3,Extreme
Vancouver Island,2016,3.0,Spring,0.009,1,0.009,0.009,8.6,72.4,62.8,14.0,Low
Vancouver Island,2016,4.0,Spring,0.063,8,0.007875,0.009,9.0,68.1,47.5,8.8,Low
Vancouver Island,2016,5.0,Spring,9.147,65,0.14072307692307692,4.3,14.2,60.8,37.3,9.4,Moderate
Vancouver Island,2016,6.0,Summer,9.208,41,0.22458536585365854,4.7,17.3,69.4,29.299999999999997,10.9,Moderate
Vancouver Island,2016,7.0,Summer,85.172,92,0.9257826086956521,78.0,18.4,62.7,23.3,9.2,High
Vancouver Island,2016,8.0,Summer,245.494,152,1.615092105263158,189.9,17.5,68.7,18.5,8.6,Extreme
Vancouver Island,2016,9.0,Fall,9.385,41,0.22890243902439023,4.5,13.300000000000002,69.1,37.4,10.6,Moderate
Vancouver Island,2016,10.0,Fall,28.527,7,4.075285714285714,27.0,12.2,80.1,84.6,10.2,High
Vancouver Island,2016,11.0,Fall,0.009,1,0.009,0.009,7.9,87.1,131.2,10.3,Low
Vancouver Island,2017,3.0,Spring,30.828,3,10.276,26.828,8.1,74.4,73.2,11.4,High
Vancouver Island,2017,4.0,Spring,0.009,4,0.00225,0.009,13.9,72.7,48.1,11.4,Low
Vancouver Island,2017,5.0,Spring,1.927,18,0.10705555555555556,0.6,15.0,67.1,32.2,10.3,Low
Vancouver Island,2017,6.0,Summer,21.071,38,0.5545,14.9,16.2,52.3,26.1,9.8,Moderate
Vancouver Island,2017,7.0,Summer,7679.781,77,99.73741558441559,7367.0,21.2,65.1,13.699999999999998,10.1,Extreme
Vancouver Island,2017,8.0,Summer,92.59,42,2.2045238095238098,85.0,17.5,67.9,23.3,11.4,High
Vancouver Island,2017,9.0,Fall,3.426,38,0.0901578947368421,1.5,14.299999999999999,71.1,27.599999999999998,11.3,Moderate
Vancouver Island,2017,10.0,Fall,488.173,46,10.61245652173913,80.0,11.6,80.0,88.0,11.1,High
Vancouver Island,2017,11.0,Fall,1.22,4,0.305,0.9,9.5,80.9,131.5,9.4,Low
Vancouver Island,2018,3.0,Spring,58.027,14,4.144785714285715,30.0,5.6,75.7,81.7,12.1,High
Vancouver Island,2018,4.0,Spring,8.409,10,0.8409000000000001,7.0,8.8,69.0,32.1,10.8,Moderate
Vancouver Island,2018,5.0,Spring,111.499,85,1.3117529411764706,37.0,15.1,68.2,32.1,9.3,High
Vancouver Island,2018,6.0,Summer,33.237,60,0.55395,16.0,17.3,65.1,13.4,11.7,High
Vancouver Island,2018,7.0,Summer,136681.75400000002,103,1327.0073203883496,79394.0,18.8,69.8,14.1,5.4,Extreme
